Munk
500
1000
1600                          
50                                    
1000
1                       
100000                     
200
5000
60
100 
2001
0	1548.52101517368                      1.0      0.0      
2.50000000000000	1548.24996083566      1.0      0.0
5	1547.98011023347                      1.0      0.0
7.50000000000000	1547.71145874624      1.0      0.0
10	1547.44400177086                      1.0      0.0
12.5000000000000	1547.17773472187      1.0      0.0
15	1546.91265303141                      1.0      0.0
17.5000000000000	1546.64875214919      1.0      0.0
20	1546.38602754234                      1.0      0.0
22.5000000000000	1546.12447469542      1.0      0.0
25	1545.86408911033                      1.0      0.0
27.5000000000000	1545.60486630620      1.0      0.0
30	1545.34680181940                      1.0      0.0
32.5000000000000	1545.08989120341      1.0      0.0
35	1544.83413002881                      1.0      0.0
37.5000000000000	1544.57951388314      1.0      0.0
40	1544.32603837091                      1.0      0.0
42.5000000000000	1544.07369911349      1.0      0.0
45	1543.82249174907                      1.0      0.0
47.5000000000000	1543.57241193257      1.0      0.0
50	1543.32345533560                      1.0      0.0
52.5000000000000	1543.07561764638      1.0      0.0
55	1542.82889456968                      1.0      0.0
57.5000000000000	1542.58328182677      1.0      0.0
60	1542.33877515534                      1.0      0.0
62.5000000000000	1542.09537030943      1.0      0.0
65	1541.85306305940                      1.0      0.0
67.5000000000000	1541.61184919182      1.0      0.0
70	1541.37172450946                      1.0      0.0
72.5000000000000	1541.13268483119      1.0      0.0
75	1540.89472599193                      1.0      0.0
77.5000000000000	1540.65784384260      1.0      0.0
80	1540.42203425002                      1.0      0.0
82.5000000000000	1540.18729309692      1.0      0.0
85	1539.95361628178                      1.0      0.0
87.5000000000000	1539.72099971888      1.0      0.0
90	1539.48943933815                      1.0      0.0
92.5000000000000	1539.25893108515      1.0      0.0
95	1539.02947092101                      1.0      0.0
97.5000000000000	1538.80105482236      1.0      0.0
100	1538.57367878128                      1.0      0.0
102.500000000000	1538.34733880523      1.0      0.0
105	1538.12203091699                      1.0      0.0
107.500000000000	1537.89775115462      1.0      0.0
110	1537.67449557139                      1.0      0.0
112.500000000000	1537.45226023571      1.0      0.0
115	1537.23104123108                      1.0      0.0
117.500000000000	1537.01083465606      1.0      0.0
120	1536.79163662416                      1.0      0.0
122.500000000000	1536.57344326381      1.0      0.0
125	1536.35625071832                      1.0      0.0
127.500000000000	1536.14005514580      1.0      0.0
130	1535.92485271909                      1.0      0.0
132.500000000000	1535.71063962573      1.0      0.0
135	1535.49741206793                      1.0      0.0
137.500000000000	1535.28516626241      1.0      0.0
140	1535.07389844048                      1.0      0.0
142.500000000000	1534.86360484788      1.0      0.0
145	1534.65428174477                      1.0      0.0
147.500000000000	1534.44592540567      1.0      0.0
150	1534.23853211940                      1.0      0.0
152.500000000000	1534.03209818901      1.0      0.0
155	1533.82661993178                      1.0      0.0
157.500000000000	1533.62209367908      1.0      0.0
160	1533.41851577640                      1.0      0.0
162.500000000000	1533.21588258324      1.0      0.0
165	1533.01419047309                      1.0      0.0
167.500000000000	1532.81343583334      1.0      0.0
170	1532.61361506527                      1.0      0.0
172.500000000000	1532.41472458395      1.0      0.0
175	1532.21676081824                      1.0      0.0
177.500000000000	1532.01972021069      1.0      0.0
180	1531.82359921751                      1.0      0.0
182.500000000000	1531.62839430851      1.0      0.0
185	1531.43410196707                      1.0      0.0
187.500000000000	1531.24071869005      1.0      0.0
190	1531.04824098775                      1.0      0.0
192.500000000000	1530.85666538390      1.0      0.0
195	1530.66598841554                      1.0      0.0
197.500000000000	1530.47620663303      1.0      0.0
200	1530.28731659995                      1.0      0.0
202.500000000000	1530.09931489309      1.0      0.0
205	1529.91219810236                      1.0      0.0
207.500000000000	1529.72596283079      1.0      0.0
210	1529.54060569442                      1.0      0.0
212.500000000000	1529.35612332230      1.0      0.0
215	1529.17251235641                      1.0      0.0
217.500000000000	1528.98976945163      1.0      0.0
220	1528.80789127567                      1.0      0.0
222.500000000000	1528.62687450904      1.0      0.0
225	1528.44671584499                      1.0      0.0
227.500000000000	1528.26741198947      1.0      0.0
230	1528.08895966107                      1.0      0.0
232.500000000000	1527.91135559096      1.0      0.0
235	1527.73459652289                      1.0      0.0
237.500000000000	1527.55867921309      1.0      0.0
240	1527.38360043024                      1.0      0.0
242.500000000000	1527.20935695544      1.0      0.0
245	1527.03594558213                      1.0      0.0
247.500000000000	1526.86336311607      1.0      0.0
250	1526.69160637528                      1.0      0.0
252.500000000000	1526.52067218999      1.0      0.0
255	1526.35055740260                      1.0      0.0
257.500000000000	1526.18125886763      1.0      0.0
260	1526.01277345169                      1.0      0.0
262.500000000000	1525.84509803339      1.0      0.0
265	1525.67822950335                      1.0      0.0
267.500000000000	1525.51216476411      1.0      0.0
270	1525.34690073010                      1.0      0.0
272.500000000000	1525.18243432760      1.0      0.0
275	1525.01876249470                      1.0      0.0
277.500000000000	1524.85588218122      1.0      0.0
280	1524.69379034871                      1.0      0.0
282.500000000000	1524.53248397036      1.0      0.0
285	1524.37196003101                      1.0      0.0
287.500000000000	1524.21221552706      1.0      0.0
290	1524.05324746643                      1.0      0.0
292.500000000000	1523.89505286854      1.0      0.0
295	1523.73762876425                      1.0      0.0
297.500000000000	1523.58097219580      1.0      0.0
300	1523.42508021682                      1.0      0.0
302.500000000000	1523.26994989221      1.0      0.0
305	1523.11557829817                      1.0      0.0
307.500000000000	1522.96196252210      1.0      0.0
310	1522.80909966260                      1.0      0.0
312.500000000000	1522.65698682940      1.0      0.0
315	1522.50562114331                      1.0      0.0
317.500000000000	1522.35499973622      1.0      0.0
320	1522.20511975102                      1.0      0.0
322.500000000000	1522.05597834154      1.0      0.0
325	1521.90757267259                      1.0      0.0
327.500000000000	1521.75989991981      1.0      0.0
330	1521.61295726972                      1.0      0.0
332.500000000000	1521.46674191962      1.0      0.0
335	1521.32125107758                      1.0      0.0
337.500000000000	1521.17648196237      1.0      0.0
340	1521.03243180347                      1.0      0.0
342.500000000000	1520.88909784095      1.0      0.0
345	1520.74647732552                      1.0      0.0
347.500000000000	1520.60456751841      1.0      0.0
